track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
MONTAGEM - FR PUNK,"Ayparia, unxbected",58054811,8,"1,170",2.0,2012.0,6.0,20.0,641.0,50.0,1.0,52.0,0.0,129.0,A,Major,63.0,84.0,82.0,70.0,8.0,9.0,7.0,?,,,,
Fast Car,Luke Combs,157058870,35,429,1.0,2023.0,3.0,24.0,1446.0,12.0,57.0,97.0,0.0,98.0,G#,Major,71.0,67.0,60.0,19.0,0.0,12.0,3.0,?,,,,
What It Is (Solo Version),Doechii,95131998,24,162,1.0,2023.0,3.0,17.0,804.0,25.0,29.0,76.0,0.0,172.0,C#,Minor,74.0,76.0,76.0,6.0,0.0,10.0,9.0,?,,,,
Coco Chanel,"Bad Bunny, Eladio Carrion",250305248,29,82,2.0,2023.0,3.0,17.0,1962.0,38.0,28.0,89.0,5.0,150.0,D,Major,68.0,14.0,76.0,4.0,0.0,10.0,4.0,?,,,,
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,685032533,0,10,1.0,2017.0,11.0,8.0,4875.0,23.0,19.0,45.0,0.0,136.0,A,Minor,62.0,19.0,53.0,11.0,0.0,6.0,4.0,?,,,,
Still With You,Jung Kook,38411956,8,0,1.0,2020.0,6.0,5.0,31.0,39.0,2.0,107.0,0.0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0.0,83.0,4.0,?,,,,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",144565150,69,478,2.0,2023.0,5.0,12.0,2175.0,23.0,69.0,145.0,2.0,143.0,D#,Major,83.0,69.0,44.0,15.0,0.0,10.0,33.0,?,,,,
Say Yes To Heaven,Lana Del Rey,127567540,63,0,1.0,2023.0,3.0,17.0,2000.0,46.0,49.0,105.0,1.0,100.0,F#,Minor,49.0,17.0,35.0,71.0,9.0,11.0,3.0,?,,,,
Snooze,SZA,399686758,42,236,1.0,2022.0,12.0,9.0,2839.0,25.0,58.0,156.0,1.0,143.0,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0,?,,,,
Summertime Sadness,Lana Del Rey,983637508,"1,632",200,1.0,2011.0,1.0,1.0,20333.0,52.0,89.0,143.0,3.0,112.0,C#,Minor,56.0,24.0,66.0,7.0,0.0,12.0,3.0,?,,,,
Take Two,BTS,118482347,25,78,1.0,2023.0,6.0,9.0,674.0,47.0,20.0,106.0,4.0,93.0,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0,?,,,,
Lover,Taylor Swift,882831184,163,5,1.0,2012.0,1.0,1.0,8448.0,23.0,160.0,110.0,0.0,206.0,G,Major,43.0,50.0,55.0,50.0,0.0,15.0,10.0,2020-01-25 00:00:00,50.0,36.0,10.0,22.0
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",286400165,19,266,3.0,2022.0,12.0,2.0,2110.0,58.0,17.0,119.0,2.0,88.0,G,Minor,68.0,17.0,71.0,15.0,0.0,11.0,5.0,?,,,,
Chemical,Post Malone,172825906,59,486,1.0,2023.0,4.0,14.0,2528.0,39.0,56.0,91.0,3.0,170.0,D,Major,50.0,37.0,90.0,0.0,0.0,12.0,5.0,?,,,,
Mockingbird,Eminem,1241559043,"2,394",204,1.0,2004.0,1.0,1.0,12985.0,61.0,49.0,98.0,5.0,84.0,E,Minor,62.0,24.0,67.0,21.0,0.0,13.0,28.0,2005-05-14 00:00:00,61.0,56.0,11.0,20.0
New Jeans,NewJeans,29562220,4,34,1.0,2023.0,7.0,7.0,77.0,35.0,8.0,166.0,4.0,134.0,E,Minor,81.0,53.0,72.0,51.0,0.0,12.0,5.0,?,,,,
Primera Cita,Carin Leon,77309611,6,202,1.0,2022.0,4.0,20.0,266.0,27.0,6.0,40.0,6.0,158.0,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0,?,,,,
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",1605224506,"1,034",312,3.0,2017.0,11.0,10.0,21097.0,52.0,384.0,135.0,37.0,116.0,C#,Major,80.0,92.0,80.0,4.0,0.0,10.0,3.0,?,,,,
Dandelions,Ruth B.,1116995633,59,32,1.0,2017.0,4.0,28.0,3423.0,21.0,41.0,100.0,1.0,117.0,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0,?,,,,
Bones,Imagine Dragons,838079900,327,153,1.0,2021.0,3.0,11.0,4198.0,44.0,98.0,108.0,17.0,114.0,F,Minor,77.0,65.0,72.0,2.0,0.0,7.0,5.0,?,,,,
Set Fire to the Rain,Adele,1163620694,"2,163",519,1.0,2011.0,1.0,1.0,14739.0,43.0,88.0,112.0,5.0,108.0,D,Minor,61.0,47.0,68.0,0.0,0.0,13.0,3.0,?,,,,
Money Trees,"Kendrick Lamar, Jay Rock",1093605526,695,458,2.0,2012.0,1.0,1.0,26792.0,32.0,69.0,113.0,0.0,144.0,E,Minor,74.0,37.0,53.0,7.0,0.0,21.0,10.0,?,,,,
Tak Segampang Itu,Anggi Marito,179659294,0,48,1.0,2022.0,12.0,2.0,213.0,6.0,7.0,6.0,0.0,130.0,F,Major,51.0,18.0,44.0,76.0,0.0,11.0,3.0,?,,,,
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",39058561,4,184,2.0,2023.0,6.0,22.0,58.0,18.0,2.0,106.0,2.0,116.0,B,Major,77.0,79.0,62.0,33.0,1.0,15.0,3.0,?,,,,
